Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,42.540649,42.545563,41.076778,41.268360,40.812237,186103
2012-01-03,41.779240,43.031879,41.479588,42.855038,42.381378,229911
2012-01-04,42.835388,43.110477,40.723091,41.096428,40.642204,290453
2012-01-05,42.240997,42.240997,41.317482,41.317482,40.860813,246869
2012-01-06,41.263447,42.344154,41.263447,41.440289,40.982262,326373
2012-01-07,null,null,null,null,null,null
2012-01-09,42.285210,42.727318,41.862747,42.162399,41.696396,423211
2012-01-10,42.589771,43.130127,42.245911,42.899246,42.425095,295237
2012-01-11,42.884510,43.410130,42.319595,43.081005,42.604855,345336
2012-01-12,43.375744,45.556808,42.943459,44.780666,44.285725,1163850
2012-01-13,45.134350,45.360317,44.323818,44.559608,44.067108,382701
2012-01-16,44.358208,45.149090,43.410130,44.667683,44.173985,441349
2012-01-17,44.706982,46.465588,44.706982,45.969444,45.461361,591116
2012-01-18,46.563835,48.140690,45.399616,46.062778,45.553665,3922305
2012-01-19,46.765240,47.580685,45.881023,46.170849,45.660538,1617719
2012-01-20,47.059978,47.059978,44.358208,44.559608,44.067108,419700
2012-01-23,44.800316,45.045929,43.621357,44.171539,43.683327,294117
2012-01-24,44.603821,46.465588,43.724518,44.407330,43.916508,961430
2012-01-25,44.800316,45.070492,44.407330,44.770840,44.276001,209219
2012-01-27,44.996807,45.674706,44.652943,44.962421,44.465466,281099
2012-01-30,44.603821,45.095055,42.540649,42.869774,42.395947,254533
2012-01-31,43.228374,44.652943,42.206612,44.132240,43.644463,398925
2012-02-01,44.210835,45.782776,44.210835,45.090141,44.591778,724393
2012-02-02,45.556808,45.630493,44.318909,44.790489,44.295433,235530
2012-02-03,44.309082,49.771576,43.857147,48.558235,48.021542,5337086
2012-02-06,49.024906,49.589821,47.379280,47.988407,47.458004,1165662
2012-02-07,48.140690,50.793339,47.177876,48.474728,47.938953,2134217
2012-02-08,48.867710,50.085964,47.954021,49.560349,49.012581,796487
2012-02-09,50.002457,51.029129,50.002457,50.503513,49.945320,1140969
2012-02-10,50.007366,50.935795,49.177189,49.825611,49.274910,728505
2012-02-13,49.614384,51.019306,45.684532,49.968067,49.415787,544213
2012-02-14,50.105614,51.667732,49.909122,50.410179,49.853012,870139
2012-02-15,50.596848,52.267033,50.596848,51.692291,51.120953,1234743
2012-02-16,51.741413,52.463528,50.793339,52.055801,51.480446,572204
2012-02-17,52.267033,54.497223,52.168785,53.450901,52.860123,1964511
2012-02-21,51.726677,58.210934,51.726677,57.036892,56.406490,3128901
2012-02-22,57.474087,58.721813,56.290218,56.874786,56.246166,1994456
2012-02-23,56.491623,58.436901,56.108463,57.474087,56.838848,2968742
2012-02-24,57.557594,58.294445,56.565308,56.953381,56.323898,914955
2012-02-27,57.375839,57.950581,55.681091,56.928822,56.299606,1489389
2012-02-28,56.982857,57.768826,56.496536,57.272682,56.639668,419282
2012-02-29,57.474087,68.163284,57.469173,63.059387,62.362423,17144268
2012-03-01,63.329567,65.323967,59.173748,62.602543,61.910618,5647296
2012-03-02,61.895172,63.172375,59.940067,62.263596,61.575417,1921629
2012-03-03,null,null,null,null,null,null
2012-03-05,62.386402,63.270618,61.502186,61.585693,60.905006,1012068
2012-03-06,60.912708,64.154839,59.576557,59.871296,59.209557,1360183
2012-03-07,59.537258,60.215160,59.080414,59.330940,58.675179,545364
2012-03-09,59.930244,60.912708,59.232697,59.910595,59.248428,737992
2012-03-12,60.318317,61.885345,59.949894,60.396915,59.729366,592744
2012-03-13,60.814461,64.036942,59.831997,61.988506,61.303368,2341787
2012-03-14,61.895172,63.074127,60.902882,61.123936,60.448357,589721
2012-03-15,60.662182,61.723240,60.126736,60.652355,59.981983,372268
2012-03-16,61.403938,62.779388,59.940067,60.234810,59.569061,825303
2012-03-19,60.328140,60.804638,59.046028,59.104977,58.451714,552478
2012-03-20,59.046028,60.804638,58.849537,59.944981,59.282429,833649
